Softball Stadium,,38.017482,-84.499771,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0485
Stadium - Boone Tennis,,38.026817,-84.50212,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0485
Stadium - Commonwealth,,38.022233,-84.50563,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0485
Stadium - Hagan Baseball,,38.028101,-84.49899,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0283
Stadium - Shively Track and Field,,38.028417,-84.497668,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0074
Stoll Field,,38.03867,-84.502121,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+P021
Stuckert Career Center,JWST,38.037145,-84.500219,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0494
Student Center,SC,38.040189,-84.50363,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0030
Student Health Clinic,UHS,38.032362,-84.508844,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0582
Sturgill Development Building,,38.036581,-84.501152,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0015
Taylor Education Building,TEB,38.040625,-84.507259,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0494
Tennis Center,,38.026679,-84.502964,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0213
Tennis Stadium,,38.026817,-84.50212,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0485
Terrell Civil Engineering Building,DVT,38.035924,-84.506701,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0052
Thomas D. Clark Building,,38.035612,-84.508434,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0336
Thomas Hunt Morgan Biological Sciences Building,BS,38.033972,-84.505965,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0225
Thomas Poe Cooper Building,TPC,38.032798,-84.505863,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0073
Tobacco and Health Research Institute,,38.025675,-84.507155,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0236
Tobacco Greenhouse,,38.034479,-84.506065,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0061
Tobacco Research Lab,,38.034479,-84.506065,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0061
Track and Field Stadium - Shively,,38.028417,-84.497668,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0074
Track Storage Building,,38.029199,-84.498371,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0114
Tuska Gallery of Contemporary Art,FA,38.036901,-84.501962,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0022
UK Child Care Development Center,,38.019118,-84.508295,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+9813
UK Federal Credit Union Student Center,,38.040189,-84.50363,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+A013
UK Opera Cottage,,38.036691,-84.500391,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0377
UKFCU,,38.040189,-84.50363,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+A013
University Health Service Building,UHS,38.032362,-84.508844,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0582
University Press,,38.035612,-84.508434,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0336
Visitor Center,MAIN,38.038866,-84.504985,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0032
W. T. Young Library,WTYL,38.03285,-84.501738,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0456
Warren Wright Medical Plaza,,38.033027,-84.508066,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0223
Wenner-Gren Research Laboratory,WGRL,38.037125,-84.501205,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0070
Wessels House,ER,38.037135,-84.501159,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0021
